"C_HLEVEL","C_FULLNAME","C_NAME","C_SYNONYM_CD","C_VISUALATTRIBUTES","C_TOTALNUM","C_BASECODE","C_METADATAXML","C_FACTTABLECOLUMN","C_TABLENAME","C_COLUMNNAME","C_COLUMNDATATYPE","C_OPERATOR","C_DIMCODE","C_COMMENT","C_TOOLTIP","M_APPLIED_PATH","UPDATE_DATE","DOWNLOAD_DATE","IMPORT_DATE","SOURCESYSTEM_CD","VALUETYPE_CD","M_EXCLUSION_CD","C_PATH","C_SYMBOL","PCORI_BASECODE","OMOP_BASECODE"
6,"\PCORI\ENCOUNTER\DRG\01\(17) Myeloproliferative Diseases\Medical\(782) Acute Leukemia wo Major O.R~\","Acute Leukemia w/o Major O.R. Proc Age >17 w CC","N","LAE",(null),"CMSDRG:782",(null),"concept_cd","CONCEPT_DIMENSION","concept_path","T","LIKE","\PCORI\ENCOUNTER\DRG\01\(17) Myeloproliferative Diseases\Medical\(782) Acute Leukemia wo Major O.R~\",(null),"CMS-DRG \ Myeloproliferative Diseases \ Medical \ Acute Leukemia w/o Major O.R. Proc Age >17 w CC","@",[2014/08/18:05:30:44 PM],[2014/08/18:05:30:44 PM],[2014/08/18:05:30:44 PM],"RPDR_DRG",(null),(null),"\PCORI\ENCOUNTER\DRG\01\(17) Myeloproliferative Diseases\Medical\","(782) Acute Leukemia wo Major O.R~","782","782"
6,"\PCORI\ENCOUNTER\DRG\01\(17) Myeloproliferative Diseases\Medical\(473) Acute leukemia wo major~\","Acute leukemia w/o major O.R. proc age less than 17","N","LAE",(null),"CMSDRG:473",(null),"concept_cd","CONCEPT_DIMENSION","concept_path","T","LIKE","\PCORI\ENCOUNTER\DRG\01\(17) Myeloproliferative Diseases\Medical\(473) Acute leukemia wo major~\",(null),"CMS-DRG \ Myeloproliferative Diseases \ Medical \ Acute leukemia w/o major O.R. proc age less than 17","@",[2014/08/18:05:30:44 PM],[2014/08/18:05:30:44 PM],[2014/08/18:05:30:44 PM],"RPDR_DRG",(null),(null),"\PCORI\ENCOUNTER\DRG\01\(17) Myeloproliferative Diseases\Medical\","(473) Acute leukemia wo major~","473","473"
6,"\PCORI\ENCOUNTER\DRG\01\(17) Myeloproliferative Diseases\Medical\(414) Other myeloprolif dis o~\","Other myeloprolif dis or poorly diff neopl diag w/o cc","N","LAE",(null),"CMSDRG:414",(null),"concept_cd","CONCEPT_DIMENSION","concept_path","T","LIKE","\PCORI\ENCOUNTER\DRG\01\(17) Myeloproliferative Diseases\Medical\(414) Other myeloprolif dis o~\",(null),"CMS-DRG \ Myeloproliferative Diseases \ Medical \ Other myeloprolif dis or poorly diff neopl diag w/o cc","@",[2014/08/18:05:30:44 PM],[2014/08/18:05:30:44 PM],[2014/08/18:05:30:44 PM],"RPDR_DRG",(null),(null),"\PCORI\ENCOUNTER\DRG\01\(17) Myeloproliferative Diseases\Medical\","(414) Other myeloprolif dis o~","414","414"
6,"\PCORI\ENCOUNTER\DRG\01\(17) Myeloproliferative Diseases\Medical\(413) Other myeloprolif dis o~\","Other myeloprolif dis or poorly diff neopl diag w cc","N","LAE",(null),"CMSDRG:413",(null),"concept_cd","CONCEPT_DIMENSION","concept_path","T","LIKE","\PCORI\ENCOUNTER\DRG\01\(17) Myeloproliferative Diseases\Medical\(413) Other myeloprolif dis o~\",(null),"CMS-DRG \ Myeloproliferative Diseases \ Medical \ Other myeloprolif dis or poorly diff neopl diag w cc","@",[2014/08/18:05:30:44 PM],[2014/08/18:05:30:44 PM],[2014/08/18:05:30:44 PM],"RPDR_DRG",(null),(null),"\PCORI\ENCOUNTER\DRG\01\(17) Myeloproliferative Diseases\Medical\","(413) Other myeloprolif dis o~","413","413"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Virginia\224xx\","224xx","N","LAE",(null),"LOCATION_CODE:224",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'224'",(null),"\Zip codes\Virginia","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Virginia\","224xx","224","224"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Louisiana\713xx\","713xx","N","LAE",(null),"LOCATION_CODE:713",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'713'",(null),"\Zip codes\Louisiana","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Louisiana\","713xx","713","713"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Virginia\230xx\","230xx","N","LAE",(null),"LOCATION_CODE:230",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'230'",(null),"\Zip codes\Virginia","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Virginia\","230xx","230","230"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Virginia\225xx\","225xx","N","LAE",(null),"LOCATION_CODE:225",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'225'",(null),"\Zip codes\Virginia","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Virginia\","225xx","225","225"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Pennsylvania\166xx\","166xx","N","LAE",(null),"LOCATION_CODE:166",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'166'",(null),"\Zip codes\Pennsylvania","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Pennsylvania\","166xx","166","166"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Tennesse\377xx\","377xx","N","LAE",(null),"LOCATION_CODE:377",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'377'",(null),"\Zip codes\Tennesse","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Tennesse\","377xx","377","377"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Washington\992xx\","992xx","N","LAE",(null),"LOCATION_CODE:992",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'992'",(null),"\Zip codes\Washington","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Washington\","992xx","992","992"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Texas\783xx\","783xx","N","LAE",(null),"LOCATION_CODE:783",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'783'",(null),"\Zip codes\Texas","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Texas\","783xx","783","783"
6,"\PCORI\ENCOUNTER\DRG\01\(17) Myeloproliferative Diseases\Medical\(412) History of malignancy w~\","History of malignancy w endoscopy","N","LAE",(null),"CMSDRG:412",(null),"concept_cd","CONCEPT_DIMENSION","concept_path","T","LIKE","\PCORI\ENCOUNTER\DRG\01\(17) Myeloproliferative Diseases\Medical\(412) History of malignancy w~\",(null),"CMS-DRG \ Myeloproliferative Diseases \ Medical \ History of malignancy w endoscopy","@",[2014/08/18:05:30:44 PM],[2014/08/18:05:30:44 PM],[2014/08/18:05:30:44 PM],"RPDR_DRG",(null),(null),"\PCORI\ENCOUNTER\DRG\01\(17) Myeloproliferative Diseases\Medical\","(412) History of malignancy w~","412","412"
6,"\PCORI\ENCOUNTER\DRG\01\(02) Diseases of the Eye\Medical\(046) Other Disorders Of The ~\","Other Disorders Of The Eye Age >17 W CC","N","LAE",(null),"CMSDRG:046",(null),"concept_cd","CONCEPT_DIMENSION","concept_path","T","LIKE","\PCORI\ENCOUNTER\DRG\01\(02) Diseases of the Eye\Medical\(046) Other Disorders Of The ~\",(null),"CMS-DRG \ Diseases of the Eye \ Medical \ Other Disorders Of The Eye Age >17 W CC","@",[2014/08/18:05:30:44 PM],[2014/08/18:05:30:44 PM],[2014/08/18:05:30:44 PM],"RPDR_DRG",(null),(null),"\PCORI\ENCOUNTER\DRG\01\(02) Diseases of the Eye\Medical\","(046) Other Disorders Of The ~","046","046"
3,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Washington\","Washington","N","FAE",(null),(null),(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'985','984','994','981','992','989','983','988','986','980','990','993','982','991'",(null),"Demographics \ Zip codes \ Washington","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\","Washington",(null),(null)
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\North Carolina\285xx\","285xx","N","LAE",(null),"LOCATION_CODE:285",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'285'",(null),"\Zip codes\North Carolina","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\North Carolina\","285xx","285","285"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\South Carolina\295xx\","295xx","N","LAE",(null),"LOCATION_CODE:295",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'295'",(null),"\Zip codes\South Carolina","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\South Carolina\","295xx","295","295"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Colorado\813xx\","813xx","N","LAE",(null),"LOCATION_CODE:813",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'813'",(null),"\Zip codes\Colorado","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Colorado\","813xx","813","813"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\California\905xx\","905xx","N","LAE",(null),"LOCATION_CODE:905",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'905'",(null),"\Zip codes\California","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\California\","905xx","905","905"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Pennsylvania\189xx\","189xx","N","LAE",(null),"LOCATION_CODE:189",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'189'",(null),"\Zip codes\Pennsylvania","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Pennsylvania\","189xx","189","189"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Illinois\603xx\","603xx","N","LAE",(null),"LOCATION_CODE:603",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'603'",(null),"\Zip codes\Illinois","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Illinois\","603xx","603","603"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Delaware\199xx\","199xx","N","LAE",(null),"LOCATION_CODE:199",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'199'",(null),"\Zip codes\Delaware","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Delaware\","199xx","199","199"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Arizona\859xx\","859xx","N","LAE",(null),"LOCATION_CODE:859",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'859'",(null),"\Zip codes\Arizona","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Arizona\","859xx","859","859"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Maryland\219xx\","219xx","N","LAE",(null),"LOCATION_CODE:219",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'219'",(null),"\Zip codes\Maryland","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Maryland\","219xx","219","219"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Minnesota\554xx\","554xx","N","LAE",(null),"LOCATION_CODE:554",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'554'",(null),"\Zip codes\Minnesota","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Minnesota\","554xx","554","554"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Minnesota\561xx\","561xx","N","LAE",(null),"LOCATION_CODE:561",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'561'",(null),"\Zip codes\Minnesota","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Minnesota\","561xx","561","561"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Minnesota\566xx\","566xx","N","LAE",(null),"LOCATION_CODE:566",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'566'",(null),"\Zip codes\Minnesota","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Minnesota\","566xx","566","566"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Missouri\631xx\","631xx","N","LAE",(null),"LOCATION_CODE:631",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'631'",(null),"\Zip codes\Missouri","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Missouri\","631xx","631","631"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\New York\109xx\","109xx","N","LAE",(null),"LOCATION_CODE:109",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'109'",(null),"\Zip codes\New York","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\New York\","109xx","109","109"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\New Mexico\875xx\","875xx","N","LAE",(null),"LOCATION_CODE:875",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'875'",(null),"\Zip codes\New Mexico","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\New Mexico\","875xx","875","875"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\North Carolina\276xx\","276xx","N","LAE",(null),"LOCATION_CODE:276",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'276'",(null),"\Zip codes\North Carolina","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\North Carolina\","276xx","276","276"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\New Hampshire\036xx\","036xx","N","LAE",(null),"LOCATION_CODE:036",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'036'",(null),"\Zip codes\New Hampshire","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\New Hampshire\","036xx","036","036"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\New Hampshire\033xx\","033xx","N","LAE",(null),"LOCATION_CODE:033",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'033'",(null),"\Zip codes\New Hampshire","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\New Hampshire\","033xx","033","033"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Pennsylvania\180xx\","180xx","N","LAE",(null),"LOCATION_CODE:180",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'180'",(null),"\Zip codes\Pennsylvania","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Pennsylvania\","180xx","180","180"
6,"\PCORI\ENCOUNTER\DRG\01\(01) Diseases of Nervous System\Medical\(031) Concussion Age 17 W CC\","Concussion Age >17 W CC","N","LAE",(null),"CMSDRG:031",(null),"concept_cd","CONCEPT_DIMENSION","concept_path","T","LIKE","\PCORI\ENCOUNTER\DRG\01\(01) Diseases of Nervous System\Medical\(031) Concussion Age 17 W CC\",(null),"CMS-DRG \ Diseases of Nervous System \ Medical \ Concussion Age >17 W CC","@",[2014/08/18:05:30:44 PM],[2014/08/18:05:30:44 PM],[2014/08/18:05:30:44 PM],"RPDR_DRG",(null),(null),"\PCORI\ENCOUNTER\DRG\01\(01) Diseases of Nervous System\Medical\","(031) Concussion Age 17 W CC","031","031"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\North Carolina\274xx\","274xx","N","LAE",(null),"LOCATION_CODE:274",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'274'",(null),"\Zip codes\North Carolina","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\North Carolina\","274xx","274","274"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\North Carolina\288xx\","288xx","N","LAE",(null),"LOCATION_CODE:288",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'288'",(null),"\Zip codes\North Carolina","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\North Carolina\","288xx","288","288"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\North Carolina\271xx\","271xx","N","LAE",(null),"LOCATION_CODE:271",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'271'",(null),"\Zip codes\North Carolina","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\North Carolina\","271xx","271","271"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Tennesse\371xx\","371xx","N","LAE",(null),"LOCATION_CODE:371",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'371'",(null),"\Zip codes\Tennesse","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Tennesse\","371xx","371","371"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Texas\787xx\","787xx","N","LAE",(null),"LOCATION_CODE:787",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'787'",(null),"\Zip codes\Texas","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Texas\","787xx","787","787"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Virginia\220xx\","220xx","N","LAE",(null),"LOCATION_CODE:220",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'220'",(null),"\Zip codes\Virginia","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Virginia\","220xx","220","220"
4,"\PCORI\ENCOUNTER\DRG\01\(06) Diseases of Digestive System\","Diseases of Digestive System","N","FAE",(null),"MDC:006",(null),"concept_cd","CONCEPT_DIMENSION","concept_path","T","LIKE","\PCORI\ENCOUNTER\DRG\01\(06) Diseases of Digestive System\",(null),"CMS-DRG \ Diseases of Digestive System","@",[2014/08/18:05:30:44 PM],[2014/08/18:05:30:44 PM],[2014/08/18:05:30:44 PM],"RPDR_DRG",(null),(null),"\PCORI\ENCOUNTER\DRG\01\","(06) Diseases of Digestive System","006","006"
4,"\PCORI\ENCOUNTER\DRG\01\(21) Injuries and Poisonings\","Injuries and Poisonings","N","FAE",(null),"MDC:021",(null),"concept_cd","CONCEPT_DIMENSION","concept_path","T","LIKE","\PCORI\ENCOUNTER\DRG\01\(21) Injuries and Poisonings\",(null),"CMS-DRG \ Injuries and Poisonings","@",[2014/08/18:05:30:44 PM],[2014/08/18:05:30:44 PM],[2014/08/18:05:30:44 PM],"RPDR_DRG",(null),(null),"\PCORI\ENCOUNTER\DRG\01\","(21) Injuries and Poisonings","021","021"
4,"\PCORI\ENCOUNTER\DRG\01\(23) Factors Influencing Health\","Factors Influencing Health","N","FAE",(null),"MDC:023",(null),"concept_cd","CONCEPT_DIMENSION","concept_path","T","LIKE","\PCORI\ENCOUNTER\DRG\01\(23) Factors Influencing Health\",(null),"CMS-DRG \ Factors Influencing Health","@",[2014/08/18:05:30:44 PM],[2014/08/18:05:30:44 PM],[2014/08/18:05:30:44 PM],"RPDR_DRG",(null),(null),"\PCORI\ENCOUNTER\DRG\01\","(23) Factors Influencing Health","023","023"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Illinois\620xx\","620xx","N","LAE",(null),"LOCATION_CODE:620",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'620'",(null),"\Zip codes\Illinois","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Illinois\","620xx","620","620"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Puerto Rico\009xx\","009xx","N","LAE",(null),"LOCATION_CODE:009",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'009'",(null),"\Zip codes\Puerto Rico","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Puerto Rico\","009xx","009","009"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Tennesse\373xx\","373xx","N","LAE",(null),"LOCATION_CODE:373",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'373'",(null),"\Zip codes\Tennesse","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Tennesse\","373xx","373","373"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Pennsylvania\194xx\","194xx","N","LAE",(null),"LOCATION_CODE:194",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'194'",(null),"\Zip codes\Pennsylvania","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Pennsylvania\","194xx","194","194"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Missouri\640xx\","640xx","N","LAE",(null),"LOCATION_CODE:640",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'640'",(null),"\Zip codes\Missouri","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Missouri\","640xx","640","640"
3,"\PCORI\ENCOUNTER\ADMITTING_SOURCE\AL\","Assisted living facility","N","LAE",(null),"ADMITTING_SOURCE:AL",(null),"patient_num","VISIT_DIMENSION","ADMITTING_SOURCE","T","IN","'AL'",(null),"Assisted living facility","@",[2001/01/01:12:00:00 AM],[2001/01/01:12:00:00 AM],[2001/01/01:12:00:00 AM],"PCORNET_CDM",(null),(null),"\PCORI\ENCOUNTER\ADMITTING_SOURCE\","AL","AL","AL"
3,"\PCORI\ENCOUNTER\ADMITTING_SOURCE\AV\","Ambulatory visit","N","LAE",(null),"ADMITTING_SOURCE:AV",(null),"patient_num","VISIT_DIMENSION","ADMITTING_SOURCE","T","IN","'AV'",(null),"Ambulatory visit","@",[2001/01/01:12:00:00 AM],[2001/01/01:12:00:00 AM],[2001/01/01:12:00:00 AM],"PCORNET_CDM",(null),(null),"\PCORI\ENCOUNTER\ADMITTING_SOURCE\","AV","AV","AV"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Georgia\399xx\","399xx","N","LAE",(null),"LOCATION_CODE:399",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'399'",(null),"\Zip codes\Georgia","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Georgia\","399xx","399","399"
